# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,-2.90
# idle,pivot_deg,28.12
# idle,pivot_deg,6.06
# idle,pivot_deg,-14.50
# idle,pivot_deg,3.08
# idle,pivot_deg,5.36
# idle,pivot_deg,0.97
# idle,pivot_deg,-0.70
# idle,pivot_deg,0.26
# idle,pivot_deg,0.53
# idle,pivot_deg,0.35
# idle,pivot_deg,-1.67
# idle,pivot_deg,0.88
# idle,pivot_deg,-0.09
# idle,pivot_deg,0.18
# idle,pivot_deg,0.44
# idle,pivot_deg,0.00
# idle,pivot_deg,0.18
# idle,pivot_deg,0.53
# idle,pivot_deg,0.26
# idle,pivot_deg,-0.62
# idle,pivot_deg,-9.84
# idle,pivot_deg,2.20
# idle,pivot_deg,0.35
# idle,pivot_deg,-5.01
# idle,pivot_deg,-2.02
# idle,pivot_deg,0.53
# idle,pivot_deg,-1.67
# idle,pivot_deg,1.85
# idle,pivot_deg,-2.99
# idle,pivot_deg,-2.46
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
  STAGE 1: motor OFF. Displace ~20-30 deg and RELEASE.
# TEST,freeswing
# DURATION_S,20
# columns: t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
1.9030,-3.252,-86.09,275.539,0.0,0
1.9080,-3.428,-57.03,275.451,0.0,0
1.9130,-3.428,-25.30,275.451,0.0,0
1.9180,-3.428,-10.00,275.539,0.0,0
1.9230,-3.252,14.39,275.805,0.0,0
1.9280,-2.900,44.73,275.982,0.0,0
1.9330,-2.461,67.49,275.362,0.0,0
1.9380,-2.109,64.73,275.805,0.0,0
1.9430,-1.934,52.57,275.805,0.0,0
1.9480,-1.846,29.99,275.628,0.0,0
1.9530,-1.934,0.46,275.805,0.0,0
1.9580,-2.021,-9.09,275.362,0.0,0
1.9630,-2.109,-11.93,275.894,0.0,0
1.9680,-2.285,-21.26,275.982,0.0,0
1.9730,-2.461,-30.20,275.805,0.0,0
1.9780,-2.637,-34.15,275.805,0.0,0
1.9830,-2.725,-26.08,275.894,0.0,0
1.9880,-2.900,-32.39,275.982,0.0,0
1.9930,-3.076,-33.18,276.071,0.0,0
1.9980,-3.428,-54.46,276.248,0.0,0
2.0030,-3.691,-55.84,276.160,0.0,0
2.0080,-3.955,-54.83,275.982,0.0,0
2.0130,-4.131,-43.15,276.160,0.0,0
2.0180,-4.395,-44.65,276.514,0.0,0
2.0230,-4.570,-37.41,276.248,0.0,0
2.0280,-4.746,-34.20,276.425,0.0,0
2.0330,-4.834,-25.70,276.780,0.0,0
2.0380,-5.010,-30.94,276.603,0.0,0
2.0430,-4.922,-2.81,276.603,0.0,0
2.0480,-4.922,1.37,276.869,0.0,0
2.0530,-4.834,9.90,277.046,0.0,0
2.0580,-4.834,4.39,277.223,0.0,0
2.0630,-4.834,1.95,277.312,0.0,0
2.0680,-4.834,0.86,277.134,0.0,0
