# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-132.98
# idle,pivot_deg,-7.12
# idle,pivot_deg,36.30
# idle,pivot_deg,33.31
# idle,pivot_deg,35.77
# idle,pivot_deg,36.30
# idle,pivot_deg,36.04
# > o
# ok,pivot zeroed
# idle,pivot_deg,0.35
# idle,pivot_deg,1.58
# idle,pivot_deg,1.93
# idle,pivot_deg,1.32
# idle,pivot_deg,0.97
# > q 180

#BEGIN
# test,yquiet
# nominal_deg,180.0
# sample_hz,200
# action,do not touch the arm
t_s,pivot_deg,wheel_deg
2.0450,2.813,248.597
2.0500,2.813,248.419
2.0550,2.813,248.508
2.0600,2.813,248.951
2.0650,2.813,248.597
2.0700,2.813,248.685
2.0750,2.813,248.685
2.0800,2.813,248.597
2.0850,2.813,248.419
2.0900,2.813,248.419
2.0950,2.813,248.508
2.1000,2.813,248.597
2.1050,2.813,248.774
2.1100,2.725,247.976
2.1150,2.725,248.774
2.1200,2.725,248.685
2.1250,2.637,248.419
2.1300,2.549,248.508
2.1350,2.637,248.863
2.1400,2.637,248.685
2.1450,2.637,248.597
2.1500,2.549,248.419
2.1550,2.549,248.597
2.1600,2.461,248.597
2.1650,2.461,248.685
2.1700,2.461,248.685
2.1750,2.461,248.685
2.1800,2.549,248.508
2.1850,2.637,248.508
2.1900,2.725,248.685
2.1950,2.725,248.419
2.2000,2.813,248.508
2.2050,2.813,248.685
2.2100,2.813,248.242
2.2150,2.900,247.888
2.2200,2.900,248.597
2.2250,2.813,248.685
2.2300,2.725,248.774
2.2350,2.725,248.685
2.2400,2.725,248.508
2.2450,2.725,248.419
2.2500,2.637,248.685
2.2550,2.637,248.685
2.2600,2.637,248.597
2.2650,2.637,248.597
2.2700,2.637,248.685
2.2750,2.725,248.863
2.2800,2.725,248.685
2.2850,2.637,248.774
2.2900,2.725,248.863
2.2950,2.637,248.685
2.3000,2.725,248.597
2.3050,2.813,248.774
2.3100,2.900,248.508
2.3150,2.900,248.597
2.3200,2.900,248.774
2.3250,2.900,248.597
2.3300,2.813,248.685
2.3350,2.813,248.597
2.3400,2.900,248.597
2.3450,2.900,248.419
2.3500,2.813,248.685
2.3550,2.813,248.863
2.3600,2.813,248.597
2.3650,2.725,248.597
2.3700,2.725,248.774
2.3750,2.725,248.597
2.3800,2.637,248.331
2.3850,2.637,249.129
2.3900,2.637,248.685
2.3950,2.637,248.951
2.4000,2.637,248.951
2.4050,2.725,248.685
2.4100,2.725,248.774
2.4150,2.725,249.129
2.4200,2.725,248.685
2.4250,2.725,248.685
2.4300,2.725,248.508
2.4350,2.813,248.508
2.4400,2.813,248.774
2.4450,2.813,248.597
2.4500,2.725,248.597
2.4550,2.725,248.597
2.4600,2.725,249.040
2.4650,2.725,248.419
2.4700,2.725,248.863
2.4750,2.813,248.508
2.4800,2.813,248.774
2.4850,2.813,248.508
2.4900,2.813,248.597
2.4950,2.813,248.685
2.5000,2.900,248.597
2.5050,2.900,248.685
2.5100,2.900,249.217
2.5150,2.900,248.508
2.5200,2.900,248.774
2.5250,2.988,248.685
2.5300,2.900,248.597
2.5350,2.988,248.685
2.5400,2.988,248.508
2.5450,2.900,248.685
2.5500,2.813,248.508
2.5550,2.813,248.774
2.5600,2.813,248.508
2.5650,2.725,248.597
2.5700,2.637,248.774
2.5750,2.549,248.508
2.5800,2.549,248.597
2.5850,2.549,248.597
2.5900,2.549,248.685
2.5950,2.461,248.685
2.6000,2.549,248.685
2.6050,2.549,248.419
2.6100,2.637,248.774
2.6150,2.637,248.685
2.6200,2.637,248.685
2.6250,2.637,248.685
2.6300,2.637,248.242
2.6350,2.549,248.597
2.6400,2.549,248.508
2.6450,2.461,248.685
2.6500,2.461,248.863
2.6550,2.461,248.597
2.6600,2.373,248.508
2.6650,2.373,248.685
2.6700,2.373,248.597
2.6750,2.373,248.685
2.6800,2.373,248.774
2.6850,2.373,248.508
2.6900,2.373,247.976
2.6950,2.373,248.597
2.7000,2.285,248.685
2.7050,2.285,248.508
2.7100,2.373,248.597
2.7150,2.461,248.597
2.7200,2.461,248.597
2.7250,2.461,248.774
2.7300,2.461,248.863
2.7350,2.461,248.419
2.7400,2.549,248.508
2.7450,2.461,248.597
2.7500,2.461,248.597
2.7550,2.461,248.685
2.7600,2.373,248.685
2.7650,2.373,248.597
2.7700,2.373,248.951
2.7750,2.461,248.685
2.7800,2.461,248.597
2.7850,2.461,248.685
2.7900,2.373,248.597
2.7950,2.373,248.685
2.8000,2.373,248.685
2.8050,2.373,248.597
2.8100,2.373,247.976
2.8150,2.461,249.040
2.8200,2.461,249.040
2.8250,2.549,247.888
2.8300,2.637,248.331
2.8350,2.637,248.685
2.8400,2.725,248.419
2.8450,2.813,248.508
2.8500,2.900,248.597
2.8550,2.900,248.685
2.8600,2.900,248.597
2.8650,2.988,248.597
2.8700,2.988,248.597
2.8750,2.988,248.508
2.8800,2.900,248.597
2.8850,2.900,248.597
2.8900,2.725,249.306
2.8950,2.725,248.419
2.9000,2.725,248.597
2.9050,2.725,248.508
2.9100,2.725,248.508
2.9150,2.637,248.597
2.9200,2.637,248.242
2.9250,2.549,248.331
2.9300,2.549,248.242
2.9350,2.549,248.419
2.9400,2.637,248.597
2.9450,2.637,248.597
2.9500,2.725,248.508
2.9550,2.725,248.597
2.9600,2.725,248.508
2.9650,2.725,248.597
2.9700,2.725,248.419
2.9750,2.725,248.508
2.9800,2.725,248.685
2.9850,2.725,248.597
2.9900,2.637,248.597
2.9950,2.549,248.597
3.0000,2.549,248.419
3.0050,2.549,248.685
3.0100,2.549,248.419
3.0150,2.461,248.597
3.0200,2.461,248.597
3.0250,2.461,248.597
3.0300,2.461,248.685
3.0350,2.461,248.508
3.0400,2.373,248.774
3.0450,2.461,248.597
3.0500,2.461,248.508
3.0550,2.549,247.888
3.0600,2.637,248.508
3.0650,2.725,248.331
3.0700,2.813,248.685
3.0750,2.900,249.129
3.0800,2.988,248.508
3.0850,2.988,249.129
3.0900,2.988,248.774
3.0950,3.076,248.685
3.1000,2.988,248.597
3.1050,3.076,248.597
3.1100,2.988,248.597
3.1150,2.988,248.685
3.1200,2.988,248.685
3.1250,2.988,248.685
3.1300,3.076,248.419
3.1350,3.076,248.597
3.1400,3.076,248.774
3.1450,3.076,248.419
3.1500,2.988,248.508
3.1550,2.988,248.597
3.1600,2.988,249.483
3.1650,2.988,248.685
3.1700,2.988,248.597
3.1750,2.988,248.597
3.1800,2.988,248.685
3.1850,2.988,248.685
3.1900,2.988,248.508
3.1950,3.076,248.419
3.2000,3.076,248.597
3.2050,3.076,248.597
3.2100,3.076,248.508
3.2150,3.076,248.597
3.2200,3.076,248.863
3.2250,3.076,248.508
3.2300,3.076,248.508
3.2350,3.076,248.597
3.2400,3.076,248.774
3.2450,2.988,248.597
3.2500,2.900,248.508
3.2550,2.900,248.685
3.2600,2.900,248.597
3.2650,2.900,248.685
3.2700,2.900,248.774
3.2750,2.813,248.508
3.2800,2.813,248.508
3.2850,2.813,248.597
3.2900,2.813,248.242
3.2950,2.813,248.597
3.3000,2.813,248.597
3.3050,2.813,248.685
3.3100,2.813,248.774
3.3150,2.813,248.863
3.3200,2.813,248.597
3.3250,2.813,248.685
3.3300,2.813,248.508
3.3350,2.813,248.597
3.3400,2.900,248.774
3.3450,2.900,248.597
3.3500,2.900,248.597
3.3550,2.988,248.774
3.3600,2.988,248.597
3.3650,2.988,248.597
3.3700,2.988,248.685
3.3750,2.988,248.774
3.3800,2.900,249.217
3.3850,2.900,248.508
3.3900,2.900,248.685
3.3950,2.900,248.508
3.4000,2.900,248.508
3.4050,2.813,248.685
3.4100,2.813,248.508
3.4150,2.813,248.597
3.4200,2.813,248.508
3.4250,2.813,248.242
3.4300,2.900,248.508
3.4350,2.988,248.508
3.4400,2.900,248.597
3.4450,2.988,248.685
3.4500,2.988,248.508
3.4550,2.988,248.508
3.4600,2.988,248.685
3.4650,2.988,248.508
3.4700,2.988,248.597
3.4750,2.988,247.710
3.4800,3.076,248.685
3.4850,3.076,248.419
3.4900,3.164,248.685
3.4950,3.252,248.685
3.5000,3.340,248.508
3.5050,3.340,248.685
3.5100,3.428,249.217
3.5150,3.428,248.597
3.5200,3.428,248.774
3.5250,3.340,248.508
3.5300,3.340,248.685
3.5350,3.252,248.508
3.5400,3.164,248.597
3.5450,2.988,248.597
3.5500,2.988,248.508
3.5550,2.988,248.685
3.5600,2.900,248.508
3.5650,2.900,248.597
3.5700,2.813,248.597
3.5750,2.813,248.154
3.5800,2.813,248.597
3.5850,2.813,248.597
3.5900,2.813,248.331
3.5950,2.813,248.685
3.6000,2.813,248.331
3.6050,2.900,248.863
3.6100,2.900,248.419
3.6150,2.988,248.597
3.6200,2.988,248.597
3.6250,3.076,248.685
3.6300,3.164,248.419
3.6350,3.164,248.508
3.6400,3.164,248.331
3.6450,3.076,249.040
3.6500,3.076,248.419
3.6550,3.076,248.597
3.6600,2.900,248.597
3.6650,2.988,248.597
3.6700,2.900,248.508
3.6750,2.900,248.685
3.6800,2.900,248.508
3.6850,2.988,248.508
3.6900,2.900,248.597
3.6950,2.988,248.508
3.7000,2.988,247.976
3.7050,2.988,248.597
3.7100,2.988,248.685
3.7150,3.076,248.685
3.7200,2.988,248.685
3.7250,2.988,249.483
3.7300,2.988,248.597
3.7350,2.988,248.685
3.7400,2.988,247.799
3.7450,2.900,248.774
3.7500,2.900,248.597
3.7550,2.900,248.597
3.7600,2.813,247.976
3.7650,2.813,248.597
3.7700,2.813,248.597
3.7750,2.813,248.419
3.7800,2.813,248.331
